Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR636531,2013-01-09 00:00:00,2012-12-19 04:33:49,37050135,7484127270,37050135,202,5150,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636531/SRR636531.sralite.1,SRX209088,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378243,SAMN01821228,simple,9606,Homo sapiens,MM065T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,764859D656D035757D25EC5F514F56D9,B32F9593F539AC52E3D7EDBC4599D538
SRR636533,2013-01-09 00:00:00,2012-12-22 18:46:45,39463429,7971612658,39463429,202,5552,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636533/SRR636533.sralite.1,SRX209089,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378358,SAMN01821229,simple,9606,Homo sapiens,MM089T,,,,,,,no,,,,Eye,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,21D68EBF9BE8CFC42660ACAD6C18F3CF,DB5B26125D78BFEA919914974F7DFFB2
SRR636555,2013-01-09 00:00:00,2012-12-27 19:09:56,18881380,3814038760,18881380,202,2518,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636555.sralite.1,SRX209090,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378945,SAMN01820444,simple,9606,Homo sapiens,MM094T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,CDE8E7B1678022D4160C62D4F72E2472,97C3F92EDA2227A4EB5195128D2AB529
SRR636556,2013-01-09 00:00:00,2012-12-19 07:35:26,72907943,14508680657,72907943,199,8821,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636556/SRR636556.sralite.1,SRX209091,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378946,SAMN01820446,simple,9606,Homo sapiens,MM105T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,8D99F772E83A1E77C8F93DE6F863716B,2A3BB00A326696C2E52B937F1A24FBB2
SRR636557,2013-01-09 00:00:00,2012-12-22 18:10:31,28611758,4348987216,28611758,152,2423,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636557.sralite.1,SRX209092,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP017445,PRJNA182345,2,182345,SRS378947,SAMN01820426,simple,9606,Homo sapiens,MM046T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,E24363A3137272D3A537410C341B30C3,9E7B9782E9B2BA23A67B56CC5F9A4CCB
SRR636532,2013-01-09 00:00:00,2012-12-22 18:35:30,12121970,2448637940,12121970,202,1693,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636532/SRR636532.sralite.1,SRX209085,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378356,SAMN01821227,simple,9606,Homo sapiens,MM016T,,,,,,,no,,,,Eye,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,F9413DE08566A4096EA8B65EC1930F49,8D0CE622439AF11BB722A4D3A7400EB2
SRR636551,2013-01-09 00:00:00,2012-12-20 16:25:23,36070945,7286330890,36070945,202,5066,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636551/SRR636551.sralite.1,SRX208957,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378756,SAMN01820452,simple,9606,Homo sapiens,MM138B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,995313CFEB139485308BEFF595DEF080,A3E3DAA1C269C5CB67A11E8A285952EB
SRR636552,2013-01-09 00:00:00,2013-01-01 21:13:52,30600004,6181200808,30600004,202,4301,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636552/SRR636552.sralite.1,SRX208958,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378757,SAMN01820454,simple,9606,Homo sapiens,MM150B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,8568BCF42526A8836493F43555A36274,7C9B02BE201DA7269A8CBC6C7234262F
SRR636553,2013-01-09 00:00:00,2012-12-22 21:25:32,60765615,12274654230,60765615,202,8569,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636553/SRR636553.sralite.1,SRX209086,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378943,SAMN01820422,simple,9606,Homo sapiens,MM018T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,F9E3D610AF7B2766B2C0DBD0A925AE6E,5C1185F529397FA4B0E7668292F07CC4
SRR636554,2013-01-09 00:00:00,2012-12-27 20:49:53,65061072,12947153328,65061072,199,7714,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/636/SRR636554.sralite.1,SRX209087,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378944,SAMN01820424,simple,9606,Homo sapiens,MM038T,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,5510A5D11E2E33BF4226B448A9AE62FC,F1B63888D59CE0E3604B342649C2CF6A
SRR636546,2013-01-09 00:00:00,2013-01-01 23:14:55,38596970,7796587940,38596970,202,5408,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636546/SRR636546.sralite.1,SRX208952,,WXS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378751,SAMN01820442,simple,9606,Homo sapiens,MM089B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,F1F12ADC985D23A4B4D0D46FB6E3C070,091824C909451825B1F8602BA828428F
SRR636547,2013-01-09 00:00:00,2012-12-22 18:30:33,72464635,14420462365,72464635,199,8759,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636547/SRR636547.sralite.1,SRX208953,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378752,SAMN01820443,simple,9606,Homo sapiens,MM094B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,DBFAD1CFA7674A95C5C07203B438E343,058DBF5F7D85BC5EA1E6BEC1B267B7DE
SRR636548,2013-01-09 00:00:00,2012-12-22 18:47:26,46965126,9486955452,46965126,202,6258,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636548/SRR636548.sralite.1,SRX208954,,WXS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378753,SAMN01820445,simple,9606,Homo sapiens,MM105B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,6760AEBF1E0C605A489D1A62123603CE,A3B8830BFBB36027FF64C4A608CB9AC5
SRR636549,2013-01-09 00:00:00,2013-01-01 20:51:44,29136792,5885631984,29136792,202,4136,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636549/SRR636549.sralite.1,SRX208955,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378754,SAMN01820448,simple,9606,Homo sapiens,MM133B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,E76F140314B5D36E8AEA1297F39AC8F9,69D56DFE291CB1D7600E95FEB01A1D8D
SRR636550,2013-01-09 00:00:00,2012-12-20 15:44:21,75923293,15336505186,75923293,202,10746,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636550/SRR636550.sralite.1,SRX208956,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378755,SAMN01820450,simple,9606,Homo sapiens,MM134B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,BFC881A21D5575F0D5DB8782C35E2E32,9EC780CB8D5C9E957A3D1E82AFDEB004
SRR636541,2013-01-09 00:00:00,2012-12-19 07:44:40,89846772,18149047944,89846772,202,12445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636541/SRR636541.sralite.1,SRX208947,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378746,SAMN01820432,simple,9606,Homo sapiens,MM065B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,D42EA5DA60EDF6405E3E0428686B5DEE,12FB53D92268E82D81CBC3685D869968
SRR636542,2013-01-09 00:00:00,2013-01-04 13:08:37,41340885,8350858770,41340885,202,5526,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636542/SRR636542.sralite.1,SRX208948,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378747,SAMN01820433,simple,9606,Homo sapiens,MM066B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,26762DFF8AC96217BFCC68B8BCC0C164,EE6A7574BA8979C3221D0B77E7606650
SRR636543,2013-01-09 02:09:10,2013-01-09 02:08:30,29590710,4497787920,29590710,152,2556,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636543/SRR636543.sralite.1,SRX208949,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP017445,PRJNA182345,2,182345,SRS378748,SAMN01820435,simple,9606,Homo sapiens,MM070B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,398531A15B86BD6015FC3ACA302143D9,ABF04EC5E1E693DAEAF927AB16C47215
SRR636544,2013-01-09 00:00:00,2012-12-19 07:57:04,49812921,10062210042,49812921,202,7052,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636544/SRR636544.sralite.1,SRX208950,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378749,SAMN01820437,simple,9606,Homo sapiens,MM080B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,AA401464A690BA286E5649ED7CCB9855,ADEB2EDE8928155B93D83CD516A6F8EF
SRR636545,2013-01-09 00:00:00,2012-12-22 18:09:12,20217981,4084032162,20217981,202,2696,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636545/SRR636545.sralite.1,SRX208951,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378750,SAMN01820440,simple,9606,Homo sapiens,MM087B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,91009CED5CE8BB73B59597568B0AE27C,C9101E2E202DB9D6F731A956A59761B9
SRR636535,2013-01-09 00:00:00,2012-12-22 18:49:27,57093747,11532936894,57093747,202,8086,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636535/SRR636535.sralite.1,SRX208942,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378741,SAMN01820421,simple,9606,Homo sapiens,MM018B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,6563E31E9801E29A3B923E7267344E5F,395A73C81783E668DC367B50A9AFB72E
SRR636536,2013-01-09 00:00:00,2012-12-22 18:25:56,36536025,7380277050,36536025,202,4856,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636536/SRR636536.sralite.1,SRX208943,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378742,SAMN01820423,simple,9606,Homo sapiens,MM038B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,C8DD6EC1BDE9655009D22AEC7B87F89E,B8C8C7189AD86A4EDB5AE8DC4C0D3795
SRR636537,2013-01-09 00:00:00,2012-12-27 20:04:16,67658764,13667070328,67658764,202,8515,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636537/SRR636537.sralite.1,SRX208944,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378743,SAMN01820425,simple,9606,Homo sapiens,MM046B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,04FDB9D2778CD266152B21ED2197D737,702929ECC653639342FE8D4FA38A24C7
SRR636538,2013-01-09 00:00:00,2012-12-19 05:44:38,102963646,20798656492,102963646,202,11199,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636538/SRR636538.sralite.1,SRX208944,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378743,SAMN01820425,simple,9606,Homo sapiens,MM046B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,FD40280A96F42E6D9F2A1677FAC575E0,0F24A83CD2A4E0BD5014AA197C6328D6
SRR636539,2013-01-09 00:00:00,2012-12-22 18:24:18,41099896,8302178992,41099896,202,5469,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636539/SRR636539.sralite.1,SRX208945,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378744,SAMN01820427,simple,9606,Homo sapiens,MM055B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,37EEC33294310D293FFC394D8E3B2EA4,CDB74D176A4A5A90A01F9FFE85B4AD96
SRR636540,2013-01-09 00:00:00,2012-12-22 20:31:49,27015850,4106409200,27015850,152,2297,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636540/SRR636540.sralite.1,SRX208946,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP017445,PRJNA182345,2,182345,SRS378745,SAMN01820429,simple,9606,Homo sapiens,MM056B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,9F5CF7F54C07F4F3644632E0E95E15AC,0FAFC2227091B2AD82B3B82DD195EB99
SRR636534,2013-01-09 00:00:00,2012-12-19 10:42:11,41022318,8286508236,41022318,202,5718,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/636/SRR636534/SRR636534.sralite.1,SRX208941,,WXS,unspecified,GENOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,SRP017445,PRJNA182345,2,182345,SRS378740,SAMN01820420,simple,9606,Homo sapiens,MM016B,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA062369,,public,09A9727BD5F2A142A8FFB1DE160F0FD9,0ED3B108E89222A8149B8881F6D3E2C4
